State,Total,Device_always,Device_usually ,Device_ sometimes,Device_rarely,Device_never ,Device_DNR,Internet_always ,Internet_ Usually,Internet_sometimes,Internet_ rarely ,Internet_ never ,Internet_DNR
Arizona,1117445,857024,139565,67043,23156,2068,28589,777755,252318,49985,4784,2068,30535
District Of Columbia,75115,62888,11485,101,0,0,640,61442,7876,2771,1228,0,1797
California,6773206,5373706,788188,221597,25231,226534,137951,4685065,1378531,176565,117011,222357,193677
Connectictut,687938,595561,58198,15986,2848,0,15345,519131,128230,20656,1640,0,18281
Florida,3186463,2082956,598379,121675,78143,183923,121387,2276327,535435,131873,6404,83491,152934
Masssachusetts,1175895,926071,157779,68889,1089,12672,9396,903299,162443,67872,3337,11474,27469
Illinois,1938084,1574314,188997,79818,0,4267,90687,1447994,347185,30815,14966,4267,92857
New York,3229459,2679845,429125,52592,5555,27264,35078,2465829,635672,58269,0,27264,42425
North Carolina,1778245,1579024,129362,48814,1671,8639,10736,1294444,275202,63974,21085,0,123539
Tennessee,1035034,729856,168865,83475,10012,9110,33715,694404,215412,57830,24004,6197,37187
Texas,5067805,3436942,949970,315517,64358,108833,192186,3091553,1278289,316752,38337,130016,212859
Utah,640618,486050,105682,28474,11109,1943,7361,512723,93006,13161,657,0,21071
Wisconsin,928216,785902,114620,13552,5252,0,8888,734124,144878,28245,1977,5252,13739
Washington,1259313,1088961,118013,30337,1157,14181,6665,931218,247402,38646,7773,14181,20092
Missouri,900139,713886,114740,39078,6610,4533,21292,694511,122424,41774,13647,4533,23249
New Jersey,1307127,1124612,109376,20387,0,17283,35469,1075028,152933,8656,8829,14966,46715
Ohio,1811234,1436707,292009,35517,0,22906,24095,1366265,255222,124900,0,14387,50460
Indiana,992214,717351,188138,59556,6274,3505,17390,787337,113950,39506,30365,955,20101
Virginia,1330678,1065204,179771,55805,25350,4548,0,1038429,186856,74451,22039,8903,0
Minnesota,1032836,846538,161211,18416,3399,0,3272,803643,180682,40658,0,0,7853
North Dakota,117431,95936,13031,4781,0,2848,836,89682,14294,9603,0,0,3852
New Hampshire,205644,177756,19106,5459,0,0,3324,168810,31687,1823,0,0,3324
Michigan,1435621,1126964,165273,107108,24170,0,12106,1039448,235543,124844,11723,0,24063
