State,abbrev,Cases,Deaths ,2020 Population,Cases Per Million,Deaths Per Million
Alabama,AL,269877,3889,5024279,53714.57,774.04
Alaska,AK,35720,143,733391,48705.26,194.98
Arizona,AZ,364276,6950,7151502,50936.99,971.82
Arkansas,AR,170924,2660,3011524,56756.65,883.27
California,CA,1341700,19876,39538223,33934.25,502.70
Colorado,CO,260581,2724,5773714,45132.30,471.79
Connecticut,CT,127715,5146,3605944,35417.91,1427.09
Delaware,DE,39912,793,989948,40317.27,801.05
District of Columbia,DC,23136,697,689545,33552.56,1010.81
Florida,FL,1040727,19423,21538187,48320.08,901.79
Georgia,GA,443822,9806,10711908,41432.58,915.43
Hawaii,HI,18842,262,1455271,12947.42,180.04
Idaho,ID,109705,1032,1839106,59651.27,561.14
Illinois,IL,787573,14116,12812508,61469.07,1101.74
Indiana,IN,381617,6242,6785528,56239.84,919.90
Iowa,IA,213390,2683,3190369,66885.68,840.97
Kansas,KS,168295,1786,2937880,57284.50,607.92
Kentucky,KY,200632,2072,4505836,44527.14,459.85
Louisiana,LA,251123,6584,4657757,53915.01,1413.56
Maine,ME,13348,227,1362359,9797.71,166.62
Maryland,MD,215027,4846,6177224,34809.65,784.49
Massachusetts,MA,256844,11004,7029917,36535.85,1565.31
Michigan,MI,426576,10321,10077331,42330.26,1024.18
Minnesota,MN,350862,3984,5706494,61484.69,698.15
Mississippi,MS,164931,3961,2961279,55695.87,1337.60
Missouri,MO,322298,4192,6154913,52364.35,681.08
Montana,MT,67875,736,1084225,62602.32,678.83
Nebraska,NE,138568,1194,1961504,70643.75,608.72
Nevada,NV,168139,2315,3104614,54157.78,745.66
New Hampshire,NH,24771,564,1377529,17982.20,409.43
New Jersey,NJ,368016,17321,9288994,39618.50,1864.68
New Mexico,NM,108088,1749,2117522,51044.57,825.97
New York,NY,705827,27149,20201249,34939.77,1343.93
North Carolina,NC,394990,5543,10439388,37836.51,530.97
North Dakota,ND,82981,1019,779094,106509.61,1307.93
Ohio,OH,475024,6959,11799448,40258.15,589.77
Oklahoma,OK,216486,1896,3959353,54677.12,478.87
Oregon,OR,84496,1033,4237256,19941.21,243.79
Pennsylvania,PA,420114,11331,13011844,32287.05,870.82
Rhode Island,RI,62137,1413,1097379,56623.10,1287.61
South Carolina,SC,232099,4566,5118425,45345.79,892.07
South Dakota,SD,85991,1110,886667,96982.29,1251.88
Tennessee,TN,400594,4943,6910840,57966.04,715.25
Texas,TX,1249323,22594,29145505,42865.03,775.21
Utah,UT,215407,939,3271616,65841.16,287.01
Vermont,VT,5015,79,643077,7798.44,122.85
Virginia,VA,255053,4200,8631393,29549.46,486.60
Washington,WA,175793,2925,7705281,22814.61,379.61
West Virginia,WV,54997,838,1793716,30660.93,467.19
Wisconsin,WI,441067,3952,5893718,74836.80,670.54
Wyoming,WY,36317,257,576851,62957.33,445.52
